state,effective_date,terminal,fuel_type,price_cents_per_litre,scraped_timestamp
New South Wales,2025-10-25,Newcastle,Diesel,163.72,2025-10-24T02:40:24.719615
New South Wales,2025-10-25,Newcastle,PULP,170.49,2025-10-24T02:40:24.719624
New South Wales,2025-10-25,Newcastle,ULP,160.49,2025-10-24T02:40:24.719621
New South Wales,2025-10-25,Newcastle,e10,160.96,2025-10-24T02:40:24.719628
New South Wales,2025-10-25,Sydney-Botany,Diesel,161.32,2025-10-24T02:40:24.719442
New South Wales,2025-10-25,Sydney-Botany,PULP,168.15,2025-10-24T02:40:24.719458
New South Wales,2025-10-25,Sydney-Botany,ULP,158.15,2025-10-24T02:40:24.719453
New South Wales,2025-10-25,Sydney-Botany,e10,158.31,2025-10-24T02:40:24.719463
New South Wales,2025-10-25,Sydney-Silverwater,Diesel,161.32,2025-10-24T02:40:24.719535
New South Wales,2025-10-25,Sydney-Silverwater,PULP,168.15,2025-10-24T02:40:24.719544
New South Wales,2025-10-25,Sydney-Silverwater,ULP,158.15,2025-10-24T02:40:24.719541
New South Wales,2025-10-25,Sydney-Silverwater,e10,158.31,2025-10-24T02:40:24.719548
New South Wales,2025-10-24,Newcastle,Diesel,162.16,2025-10-24T02:40:24.719847
New South Wales,2025-10-24,Newcastle,PULP,169.91,2025-10-24T02:40:24.719855
New South Wales,2025-10-24,Newcastle,ULP,159.91,2025-10-24T02:40:24.719852
New South Wales,2025-10-24,Newcastle,e10,160.38,2025-10-24T02:40:24.719859
New South Wales,2025-10-24,Sydney-Botany,Diesel,159.86,2025-10-24T02:40:24.719692
New South Wales,2025-10-24,Sydney-Botany,PULP,167.7,2025-10-24T02:40:24.719701
New South Wales,2025-10-24,Sydney-Botany,ULP,157.7,2025-10-24T02:40:24.719697
New South Wales,2025-10-24,Sydney-Botany,e10,157.86,2025-10-24T02:40:24.719704
New South Wales,2025-10-24,Sydney-Silverwater,Diesel,159.86,2025-10-24T02:40:24.719768
New South Wales,2025-10-24,Sydney-Silverwater,PULP,167.7,2025-10-24T02:40:24.719778
New South Wales,2025-10-24,Sydney-Silverwater,ULP,157.7,2025-10-24T02:40:24.719774
New South Wales,2025-10-24,Sydney-Silverwater,e10,157.86,2025-10-24T02:40:24.719781
New South Wales,2025-10-23,Newcastle,Diesel,161.89,2025-10-23T02:43:47.294058
New South Wales,2025-10-23,Newcastle,PULP,169.75,2025-10-23T02:43:47.294067
New South Wales,2025-10-23,Newcastle,ULP,159.75,2025-10-23T02:43:47.294064
New South Wales,2025-10-23,Newcastle,e10,160.22,2025-10-23T02:43:47.294071
New South Wales,2025-10-23,Sydney-Botany,Diesel,159.62,2025-10-23T02:43:47.293903
New South Wales,2025-10-23,Sydney-Botany,PULP,167.68,2025-10-23T02:43:47.293912
New South Wales,2025-10-23,Sydney-Botany,ULP,157.68,2025-10-23T02:43:47.293908
New South Wales,2025-10-23,Sydney-Botany,e10,157.83,2025-10-23T02:43:47.293915
New South Wales,2025-10-23,Sydney-Silverwater,Diesel,159.62,2025-10-23T02:43:47.293980
New South Wales,2025-10-23,Sydney-Silverwater,PULP,167.68,2025-10-23T02:43:47.293990
