state,effective_date,terminal,fuel_type,price_cents_per_litre,scraped_timestamp
New South Wales,2026-09-26,Newcastle,Diesel,257.18,2026-09-25T06:12:17.804706
New South Wales,2026-09-26,Newcastle,PULP,237.87,2026-09-25T06:12:17.804713
New South Wales,2026-09-26,Newcastle,ULP,227.87,2026-09-25T06:12:17.804710
New South Wales,2026-09-26,Newcastle,e10,228.29,2026-09-25T06:12:17.804717
New South Wales,2026-09-26,Sydney-Botany,Diesel,265.0,2026-09-25T06:12:17.804574
New South Wales,2026-09-26,Sydney-Botany,PULP,241.06,2026-09-25T06:12:17.804589
New South Wales,2026-09-26,Sydney-Botany,ULP,231.06,2026-09-25T06:12:17.804584
New South Wales,2026-09-26,Sydney-Botany,e10,231.02,2026-09-25T06:12:17.804592
New South Wales,2026-09-26,Sydney-Silverwater,Diesel,265.0,2026-09-25T06:12:17.804646
New South Wales,2026-09-26,Sydney-Silverwater,PULP,241.06,2026-09-25T06:12:17.804654
New South Wales,2026-09-26,Sydney-Silverwater,ULP,231.06,2026-09-25T06:12:17.804651
New South Wales,2026-09-26,Sydney-Silverwater,e10,231.02,2026-09-25T06:12:17.804658
Northern Territory,2026-09-26,Darwin,Diesel,261.56,2026-09-25T06:12:17.805115
Northern Territory,2026-09-26,Darwin,PULP,241.65,2026-09-25T06:12:17.805124
Northern Territory,2026-09-26,Darwin,ULP,231.65,2026-09-25T06:12:17.805120
Queensland,2026-09-26,Brisbane,Diesel,265.57,2026-09-25T06:12:17.805408
Queensland,2026-09-26,Brisbane,PULP,239.37,2026-09-25T06:12:17.805417
Queensland,2026-09-26,Brisbane,ULP,229.77,2026-09-25T06:12:17.805413
Queensland,2026-09-26,Brisbane,e10,228.49,2026-09-25T06:12:17.805420
Queensland,2026-09-26,Cairns,Diesel,262.03,2026-09-25T06:12:17.805471
Queensland,2026-09-26,Cairns,PULP,245.8,2026-09-25T06:12:17.805478
Queensland,2026-09-26,Cairns,ULP,235.8,2026-09-25T06:12:17.805475
Queensland,2026-09-26,Gladstone,Diesel,262.48,2026-09-25T06:12:17.805527
Queensland,2026-09-26,Gladstone,PULP,245.06,2026-09-25T06:12:17.805535
Queensland,2026-09-26,Gladstone,ULP,235.06,2026-09-25T06:12:17.805531
Queensland,2026-09-26,Mackay,Diesel,259.21,2026-09-25T06:12:17.805581
Queensland,2026-09-26,Mackay,PULP,245.18,2026-09-25T06:12:17.805589
Queensland,2026-09-26,Mackay,ULP,235.18,2026-09-25T06:12:17.805586
Queensland,2026-09-26,Mackay,e10,233.08,2026-09-25T06:12:17.805592
Queensland,2026-09-26,Townsville,Diesel,260.93,2026-09-25T06:12:17.805637
Queensland,2026-09-26,Townsville,PULP,246.66,2026-09-25T06:12:17.805644
Queensland,2026-09-26,Townsville,ULP,236.66,2026-09-25T06:12:17.805641
South Australia,2026-09-26,Adelaide,Diesel,255.72,2026-09-25T06:12:17.806137
South Australia,2026-09-26,Adelaide,PULP,235.81,2026-09-25T06:12:17.806145
South Australia,2026-09-26,Adelaide,ULP,226.81,2026-09-25T06:12:17.806142
South Australia,2026-09-26,Port Bonython,Diesel,271.34,2026-09-25T06:12:17.806244
Tasmania,2026-09-26,Burnie,Diesel,265.02,2026-09-25T06:12:17.806530
Tasmania,2026-09-26,Burnie,PULP,241.78,2026-09-25T06:12:17.806538
Tasmania,2026-09-26,Burnie,ULP,231.78,2026-09-25T06:12:17.806535
Tasmania,2026-09-26,Hobart,Diesel,264.63,2026-09-25T06:12:17.806584
Tasmania,2026-09-26,Hobart,PULP,242.19,2026-09-25T06:12:17.806592
Tasmania,2026-09-26,Hobart,ULP,232.19,2026-09-25T06:12:17.806588
Victoria,2026-09-26,Geelong,Diesel,262.01,2026-09-25T06:12:17.806908
Victoria,2026-09-26,Geelong,PULP,239.06,2026-09-25T06:12:17.806915
Victoria,2026-09-26,Geelong,ULP,229.06,2026-09-25T06:12:17.806912
Victoria,2026-09-26,Melbourne,Diesel,259.9,2026-09-25T06:12:17.806961
Victoria,2026-09-26,Melbourne,PULP,238.84,2026-09-25T06:12:17.806968
Victoria,2026-09-26,Melbourne,ULP,228.84,2026-09-25T06:12:17.806965
Western Australia,2026-09-26,Broome,Diesel,273.75,2026-09-25T06:12:17.807289
Western Australia,2026-09-26,Broome,PULP,260.77,2026-09-25T06:12:17.807297
Western Australia,2026-09-26,Broome,ULP,250.77,2026-09-25T06:12:17.807294
Western Australia,2026-09-26,Esperance,Diesel,262.83,2026-09-25T06:12:17.807343
Western Australia,2026-09-26,Esperance,PULP,246.99,2026-09-25T06:12:17.807350
Western Australia,2026-09-26,Esperance,ULP,236.99,2026-09-25T06:12:17.807347
Western Australia,2026-09-26,Geraldton,Diesel,264.13,2026-09-25T06:12:17.807414
Western Australia,2026-09-26,Kalgoorlie,Diesel,259.64,2026-09-25T06:12:17.807482
Western Australia,2026-09-26,Kalgoorlie,ULP,231.36,2026-09-25T06:12:17.807486
Western Australia,2026-09-26,Perth,Diesel,255.47,2026-09-25T06:12:17.807534
Western Australia,2026-09-26,Perth,PULP,237.31,2026-09-25T06:12:17.807542
Western Australia,2026-09-26,Perth,ULP,227.31,2026-09-25T06:12:17.807538
Western Australia,2026-09-26,Port Hedland,Diesel,260.92,2026-09-25T06:12:17.807586
Western Australia,2026-09-26,Port Hedland,ULP,245.76,2026-09-25T06:12:17.807591
